name,lat,lon
"Kerseong, West Bengal ",26.8826,88.2788
"Gayabari,  West Bengal ",26.8572,88.3143
"4th Mile, Lower Mangshila in North Sikkim",27.478,88.527
"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",25.3098633,94.48214677
"Mokochung, Nagaland, India",26.324724,94.514651
"Dzongu, Sikkim, India",27.593,88.492
"North Skkimm Hwy between, Chungthang and Mangan, North Skimm (9 landslides)",27.8385,88.556
" Chungthang and Pegong. Houses, between Rangma and Chungthang ",27.6558,88.605
"Wokha, India",26.092493,94.257523
"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",25.7658,93.9413
"National Highway 2 Near Meriema Village, 10 Km Away From Kohima",25.7131,94.0885
"Chittagong, Bangladesh",22.35037081,91.83258101
"Wokha Sadar Sub-District, Wokha, Nagaland",26.1445447,94.24416766
"Panikhaiti, Kamrup Metropolitan, Assam State, India",26.20450454,91.87202793
"Deppochhari (??), Rangamati Hill District, Bangladesh",22.77997113,92.03513581
"AH1, Mao-Maram, Senapati, Manipur, 795150",25.4976444,94.12901274
"Chandrapur, Kamrup Metropolitan, Assam",26.22247247,91.92053028
"Jorabat, Assam State, India",26.1061808,91.85158907
"Sonapur, Kamrup Metropolitan, Assam",26.10430759,91.86227824
"Rangamati Hill District, Bangladesh",22.74955141,92.22099982
,22.80452414,91.91261915
"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",27.98531715,94.21263589
"Wokha Sadar Sub-District, Wokha, Nagaland",26.11613908,94.24222574
"Daporijo-Dumporijo road, Arunachal Pradesh, India",27.97875751,94.26296826
"Kurseong, Darjeeling, West Bengal, India",26.90298048,88.29518925
"Aizawl, Mizoram State, India",23.69461107,92.87641207
"Chuchuyimpang, Mokokchung, Nagaland",26.3312531,94.55427723
"Alubari, Darjeeling, West Bengal, India",27.02149311,88.25902123
"Kalaywa Township, Sagiang region, about 6 miles from Kalaywa",23.19807165,94.29816252
,27.06992579,93.6146564
"NH-2, Pherzawl District, Manipur State, India",24.21988831,93.20266204
Hakha in Zayhuang Ward,22.65620215,93.61589869
Dima Hasao district,25.15246863,92.94670614
"NH 2, Manipur State, India",24.30415689,93.18182448
"Longding, India",26.88161,95.399897
Vidyamohan Chowdhury Para (???) of remote Dhalai district,23.86469956,91.8949662
"Daragoan (?) in Sonada area, Darjeeling",26.9653186,88.2667225
Between Rangamati town and Kaptai,22.59420297,92.16404889
,22.65242372,92.15898865
,22.80452414,91.91261915
,22.44394492,91.97239273
"Poma River, west of Itangar",27.05909317,93.54235868
"Poma, 6km away from Itanagar",27.05880384,93.54136779
"St Paul's Secondary School, Nongpoh",25.907233,91.881892
"The road that connects civil secretariat and medical college site towards BSF camp at Nhachüko, Kohima",25.67061161,94.11844319
"NH 2, Manipur State, India",24.32420539,93.15020652
Between Rangamati town and Kaptai,22.59420297,92.16404889
,23.73354779,92.74744512
"Khaivarentang village (??) in Ukhrul, Manipur",25.11956675,94.36416626
Kamalpur,24.19467451,91.82931979
,22.65242372,92.15898865
"Bhalukpong, West Kameng, Arunachal Pradesh",27.01145644,92.64204045
"Toong-Sankalang road between Saffo and Ship-Gyer, North Sikkim",27.54295099,88.59676956
"Near Kohima, Nagaland, India",25.660517,94.104931
Torrential downpour causes road-blocking lansdlide along NH-2 near Bimparao village,25.06657276,93.9310888
"Silchar, Assam, India",24.768609,92.821182
"Dree Festival Ground, NH-415, Arunachal Pradesh, India",27.10647226,93.65975252
"Sanglo Potum (??), Itanagar, Papum Pare, Arunachal Pradesh",27.08168565,93.60815652
"Sarli-Damin road in Kurung Kumey district, near Lee village",27.769793,93.50995626
"Hunthar Area, NH 54, off of Aizawl",23.73941422,92.71505961
"Jollang, Itanagar Sub-District, Papum Pare, Arunachal Pradesh, 791123",27.04768643,93.61899644
"NH-150, Ukhrul Central, Ukhrul, Manipur, 795142",24.95178179,94.20340026
